,0
animal,Chuck Norris can skeletize a cow in two minutes.
career,Chuck Norris' first job was as a paperboy. There were no survivors.
celebrity,"When Steven Seagal kills a ninja, he only takes its hide. When Chuck Norris kills a ninja, he uses every part."
dev,"The Chuck Norris military unit was not used in the game Civilization 4, because a single Chuck Norris could defeat the entire combined nations of the world in one turn."
explicit,"If you get home from work and find Chuck Norris banging your wife, you should just go ahead and make a sandwich because Chuck Norris gets hungry after sex!"
fashion,"Chuck Norris does not follow fashion trends, they follow him. But then he turns around and kicks their ass. Nobody follows Chuck Norris."
food,Atomic bombs are Chuck Norris favourite food. They are so crisply and spicy.
history,The Great Wall of China was originally created to keep Chuck Norris out. It failed miserably.
money,"Chuck Norris walked into a bank during a robbery. When the crooks saw Chuck, they returned all the money then gave the teller all the money from their own wallets."
movie,Chuck Norris can beat Arnie in an Arnold Schwarzenegger Impersonation contest.
music,"""Let the Bodies Hit the Floor"" was originally written as Chuck Norris' theme song."
political,Chuck Norris once wanted a kitty cat....so he went to the zoo and purchased a tiger - he named his tiger Dick Cheney because it was such a big pussy.
religion,"Jesus can walk on water, but Chuck Norris can swim through land."
science,"Chuck Norris can do a roundhouse kick faster than the speed of light. This means that if you turn on a light switch, you will be dead before the lightbulb turns on."
sport,The US did not boycott the 1980 Summer Olympics in Moscow due to political reasons: Chuck Norris killed the entire US team with a single round-house kick during TaeKwonDo practice.
travel,"For Spring Break '05, Chuck Norris drove to Madagascar, riding a chariot pulled by two electric eels."
